NMS Number Block: Number Block,Block Status,CP Name,Geographic Number Length,Allocation Date,Notes
1130 42,Allocated,GCI Network Solutions Limited,(0)+10,26/02/2024,
1130 43,Allocated,GCI Network Solutions Limited,(0)+10,26/02/2024,
1130 44,Protected,,(0)+10,,
1130 45,Protected,,(0)+10,,
1130 46,Protected,,(0)+10,,
1130 47,Protected,,(0)+10,,
1130 48,Protected,,(0)+10,,
1130 49,Protected,,(0)+10,,
1130 50,Protected,,(0)+10,,
1130 51,Allocated,GCI Network Solutions Limited,(0)+10,26/02/2024,
1130 52,Allocated,GCI Network Solutions Limited,(0)+10,26/02/2024,
1130 53,Protected,,(0)+10,,
1130 54,Protected,,(0)+10,,
1130 55,Protected,,(0)+10,,
1130 56,Protected,,(0)+10,,
1130 57,Protected,,(0)+10,,
1130 58,Protected,,(0)+10,,
1130 59,Protected,,(0)+10,,
1130 60,Protected,,(0)+10,,
1130 61,Protected,,(0)+10,,
1130 62,Protected,,(0)+10,,
1130 63,Protected,,(0)+10,,
1130 64,Protected,,(0)+10,,
1130 65,Protected,,(0)+10,,
1130 66,Protected,,(0)+10,,
1130 67,Protected,,(0)+10,,
1130 68,Protected,,(0)+10,,
1130 69,Protected,,(0)+10,,
1130 70,Protected,,(0)+10,,
1130 71,Protected,,(0)+10,,
1130 72,Protected,,(0)+10,,
1130 73,Protected,,(0)+10,,
1130 74,Allocated,GCI Network Solutions Limited,(0)+10,26/02/2024,
1130 75,Allocated,GCI Network Solutions Limited,(0)+10,26/02/2024,
1130 76,Allocated,GCI Network Solutions Limited,(0)+10,26/02/2024,
1130 77,Allocated,GCI Network Solutions Limited,(0)+10,26/02/2024,
1130 78,Allocated,GCI Network Solutions Limited,(0)+10,26/02/2024,
1130 79,Protected,,(0)+10,,
1130 80,Protected,,(0)+10,,
1130 81,Protected,,(0)+10,,
1130 82,Protected,,(0)+10,,
1130 83,Protected,,(0)+10,,
1130 84,Protected,,(0)+10,,
1130 85,Protected,,(0)+10,,
1130 86,Protected,,(0)+10,,
1130 87,Protected,,(0)+10,,
1130 88,Protected,,(0)+10,,
1130 89,Protected,,(0)+10,,
1130 90,Protected,,(0)+10,,
1130 91,Protected,,(0)+10,,
1130 92,Protected,,(0)+10,,
1130 93,Protected,,(0)+10,,
1130 94,Protected,,(0)+10,,
1130 95,Protected,,(0)+10,,
1130 96,Protected,,(0)+10,,
1130 97,Protected,,(0)+10,,
1130 98,Protected,,(0)+10,,
1130 99,Protected,,(0)+10,,
1131 00,Allocated,Virgin Media Limited,(0)+10,01/10/2008,
1131 01,Allocated,Virgin Media Limited,(0)+10,01/10/2008,
1131 02,Protected,,(0)+10,,
1131 03,Protected,,(0)+10,,
1131 04,Protected,,(0)+10,,
1131 05,Protected,,(0)+10,,
1131 06,Protected,,(0)+10,,
1131 07,Protected,,(0)+10,,
1131 08,Protected,,(0)+10,,
1131 09,Protected,,(0)+10,,
1131 10,Allocated,Vodafone Ltd (C&W),(0)+10,19/07/2013,
1131 11,Protected,,(0)+10,,
1131 12,Protected,,(0)+10,,
1131 13,Allocated,Vodafone Ltd (C&W),(0)+10,19/07/2013,
1131 14,Allocated,Vodafone Ltd (C&W),(0)+10,19/07/2013,
1131 15,Protected,,(0)+10,,
1131 16,Protected,,(0)+10,,
1131 17,Protected,,(0)+10,,
1131 18,Protected,,(0)+10,,
1131 19,Allocated,GCI Network Solutions Limited,(0)+10,26/02/2024,
1131 20,Protected,,(0)+10,,
1131 21,Protected,,(0)+10,,
1131 22,Protected,,(0)+10,,
1131 23,Protected,,(0)+10,,
1131 24,Protected,,(0)+10,,
1131 25,Protected,,(0)+10,,
1131 26,Protected,,(0)+10,,
1131 27,Protected,,(0)+10,,
1131 28,Protected,,(0)+10,,
1131 29,Protected,,(0)+10,,
1131 30,Protected,,(0)+10,,
1131 31,Protected,,(0)+10,,
1131 32,Protected,,(0)+10,,
1131 33,Protected,,(0)+10,,
1131 34,Protected,,(0)+10,,
1131 35,Protected,,(0)+10,,
1131 36,Protected,,(0)+10,,
1131 37,Protected,,(0)+10,,
1131 38,Protected,,(0)+10,,
1131 39,Protected,,(0)+10,,
1131 40,Protected,,(0)+10,,
1131 41,Protected,,(0)+10,,
1131 42,Protected,,(0)+10,,
1131 43,Protected,,(0)+10,,
1131 44,Protected,,(0)+10,,
1131 45,Protected,,(0)+10,,
1131 46,Protected,,(0)+10,,
1131 47,Protected,,(0)+10,,
1131 48,Protected,,(0)+10,,
1131 49,Protected,,(0)+10,,
1131 50,Protected,,(0)+10,,
1131 51,Protected,,(0)+10,,
1131 52,Allocated,GCI Network Solutions Limited,(0)+10,26/02/2024,
1131 53,Protected,,(0)+10,,
1131 54,Protected,,(0)+10,,
1131 55,Protected,,(0)+10,,
1131 56,Protected,,(0)+10,,
1131 57,Protected,,(0)+10,,
1131 58,Protected,,(0)+10,,
1131 59,Protected,,(0)+10,,
1131 60,Allocated,Vodafone Ltd (C&W),(0)+10,19/07/2013,
1131 61,Allocated,Vodafone Ltd (C&W),(0)+10,19/07/2013,
1131 62,Allocated,Vodafone Ltd (C&W),(0)+10,19/07/2013,
1131 63,Allocated,Vodafone Ltd (C&W),(0)+10,19/07/2013,
1131 64,Allocated,Vodafone Ltd (C&W),(0)+10,19/07/2013,
1131 65,Protected,,(0)+10,,
1131 66,Protected,,(0)+10,,
1131 67,Protected,,(0)+10,,
1131 68,Protected,,(0)+10,,
1131 69,Protected,,(0)+10,,
1131 70,Protected,,(0)+10,,
1131 71,Protected,,(0)+10,,
1131 72,Protected,,(0)+10,,
1131 73,Protected,,(0)+10,,
1131 74,Protected,,(0)+10,,
1131 75,Protected,,(0)+10,,
1131 76,Protected,,(0)+10,,
